FID,TYPE,CITY,STATE,ZIP,LATITUDE,LONGITUDE
41367,Authorized Ship Center,Bridgewater,NJ,8807,40.568416,-74.56626899999999
41368,Self-Service,Middlesex,NJ,8846,40.574844,-74.483336
41369,Self-Service,South Plainfield,NJ,7080,40.553719,-74.432445
41370,Self-Service,Somerset,NJ,8873,40.54807,-74.54560699999999
41371,Self-Service,Turnersville,NJ,8012,39.737085,-75.047597
41372,Self-Service,South Plainfield,NJ,7080,40.557619,-74.41164300000001
41373,Authorized Ship Center,Willingboro,NJ,8046,40.013841,-74.876638
41374,Self-Service,Somerset,NJ,8873,40.547385999999996,-74.545778
41375,Self-Service,Berkeley Heights,NJ,7922,40.686753,-74.437263
41376,Self-Service,Delran,NJ,8075,40.017947,-74.94426800000001
41377,Self-Service,South Plainfield,NJ,7080,40.550126,-74.411591
41378,Self-Service,Delran,NJ,8075,40.018214,-74.959664
41379,Self-Service,Edison,NJ,8817,40.526512,-74.414765
41380,Self-Service,Delran,NJ,8075,40.011837,-74.962315
41381,Self-Service,Piscataway,NJ,8854,40.555132,-74.47290500000001
41382,Self-Service,Piscataway,NJ,8854,40.553626,-74.474284
41383,Self-Service,Mount Holly,NJ,8060,40.006551,-74.859825
41384,Self-Service,Oak Ridge,NJ,7438,41.050519,-74.478998
41385,Staffed,Parsippany,NJ,7054,40.846415,-74.467373
41386,Self-Service,Blackwood,NJ,8012,39.789778000000005,-75.055577
41387,Self-Service,Parsippany,NJ,7054,40.849072,-74.456125
41388,Staffed,Morristown,NJ,7960,40.798218,-74.48076999999999
41389,Self-Service,Morris Plains,NJ,7927,40.83166,-74.445778
41390,Self-Service,Turnersville,NJ,8012,39.728024,-75.031198
41391,Self-Service,Morris Plains,NJ,7950,40.838353999999995,-74.4774
41392,Self-Service,Morris Plains,NJ,7950,40.840431,-74.47653100000001
41393,Self-Service,Sewell,NJ,8080,39.724212,-75.049288
41394,Self-Service,Chatham,NJ,7935,40.746302,-74.43225799999999
41395,Self-Service,Morristown,NJ,7960,40.798203,-74.483761
41396,Self-Service,Morristown,NJ,7960,40.797062,-74.483113
41397,Staffed,Mount Laurel,NJ,8054,39.921313,-74.947079
41398,Self-Service,Morristown,NJ,7960,40.795914,-74.482947
41399,Self-Service,Philadelphia,PA,19115,40.097299,-75.030452
41400,Authorized Ship Center,Ocean City,MD,21842,38.434589,-75.05455400000001
41401,Authorized Ship Center,Morristown,NJ,7960,40.804899,-74.482547
41402,Self-Service,Somerset,NJ,8873,40.548120000000004,-74.541309
41403,Self-Service,Bristol,PA,19007,40.103577,-74.855641
41404,Self-Service,Ocean City,MD,21842,38.430532,-75.055201
41405,Self-Service,Morristown,NJ,7960,40.792144,-74.48484
41406,Self-Service,Fort Dix,NJ,8640,40.008739,-74.628089
41407,Self-Service,Parsippany,NJ,7054,40.847778000000005,-74.46230200000001
41408,Authorized Ship Center,Browns Mills,NJ,8015,39.969649,-74.590577
41409,Self-Service,Somerset,NJ,8873,40.54594,-74.54203000000001
41410,Authorized Ship Center,Levittown,PA,19056,40.132078,-74.88374499999999
41411,Self-Service,Stamford,NY,12167,42.410090000000004,-74.61953100000001
41412,Self-Service,Bristol,PA,19007,40.103757,-74.85190899999999
41413,Self-Service,Somerset,NJ,8873,40.545032,-74.533928
41414,Self-Service,Parsippany,NJ,7950,40.842405,-74.460959
41415,Self-Service,Fort Dix,NJ,8640,40.00946,-74.62159799999999
41416,Self-Service,Parsippany,NJ,7054,40.846415,-74.467373
41417,Self-Service,Bridgewater,NJ,8807,40.576345,-74.56643000000001
41418,Self-Service,Bristol,PA,19007,40.115984999999995,-74.842045
41419,Self-Service,Morristown,NJ,7960,40.794681,-74.479765
41420,Self-Service,Oneonta,NY,13820,42.44793,-75.029397
41421,Self-Service,Morristown,NJ,7960,40.795749,-74.480428
41422,Self-Service,Vincentown,NJ,8088,39.894381,-74.740977
41423,Self-Service,Delhi,NY,13753,42.268586,-74.922095
41424,Self-Service,Morristown,NJ,7960,40.791484999999994,-74.47542299999999
41425,Self-Service,Mount Holly,NJ,8060,39.995344,-74.78805799999999
41426,Self-Service,Bristol,PA,19007,40.119111,-74.891745
41427,Self-Service,Somerset,NJ,8873,40.54255,-74.53756800000001
41428,Self-Service,Middlesex,NJ,8846,40.5731,-74.51049
41429,Self-Service,Burlington,NJ,8016,40.076798,-74.857653
41430,Self-Service,Mount Holly,NJ,8060,39.996259,-74.791579
41431,Self-Service,Lumberton,NJ,8048,39.976495,-74.800147
41432,Self-Service,Burlington,NJ,8016,40.07066,-74.85493699999999
41433,Self-Service,Bridgewater,NJ,8807,40.580549,-74.580401
41434,Self-Service,Morristown,NJ,7960,40.791762,-74.475635
41435,Self-Service,Morristown,NJ,7960,40.788841,-74.472261
41436,Self-Service,Mount Holly,NJ,8060,40.004661,-74.794273
41437,Self-Service,Margaretville,NY,12455,42.166953,-74.633222
41438,Self-Service,Burlington,NJ,8016,40.096109999999996,-74.817587
41439,Self-Service,Morristown,NJ,7960,40.765076,-74.486946
41440,Self-Service,Princeton,NJ,8540,40.317557,-74.64579300000001
41441,Self-Service,Bristol,PA,19007,40.132806,-74.824168
41442,Self-Service,Morristown,NJ,7960,40.798642,-74.464572
41443,Self-Service,Princeton,NJ,8540,40.312213,-74.652849
41444,Authorized Ship Center,Mount Holly,NJ,8060,40.011813000000004,-74.804502
41445,Self-Service,Morristown,NJ,7960,40.795821999999994,-74.455057
41446,Self-Service,Lawrenceville,NJ,8648,40.259225,-74.725454
41447,Self-Service,Bensalem,PA,19020,40.108911,-74.924447
41448,Self-Service,Bordentown,NJ,8505,40.141715999999995,-74.711781
41449,Self-Service,Chatham,NJ,7928,40.741356,-74.430616
41450,Self-Service,Wrightstown,NJ,8562,40.035976,-74.616091
41451,Self-Service,Cedar Knolls,NJ,7927,40.823190999999994,-74.449281
41452,Self-Service,Columbia,NJ,7832,40.967157,-75.03586899999999
41453,Self-Service,Bensalem,PA,19020,40.110034999999996,-74.927044
41454,Self-Service,Lawrenceville,NJ,8648,40.289941999999996,-74.676997
41455,Authorized Ship Center,Morris Plains,NJ,7950,40.845965,-74.467074
41456,Self-Service,Levittown,PA,19055,40.154751,-74.854734
41457,Self-Service,Princeton,NJ,8540,40.309201,-74.66510500000001
41458,Self-Service,Yardville,NJ,8620,40.178976,-74.671368
41459,Self-Service,Cedar Knolls,NJ,7927,40.828969,-74.446185
41460,Self-Service,Bensalem,PA,19020,40.084539,-74.928646
41461,Self-Service,Trenton,NJ,8620,40.185324,-74.679063
41462,Self-Service,Princeton,NJ,8540,40.307759999999995,-74.666536
41463,Self-Service,Flemington,NJ,8822,40.513646,-74.85179699999999
41464,Self-Service,Trenton,NJ,8610,40.192513,-74.715038
41465,Self-Service,Bensalem,PA,19020,40.084865,-74.933838
41466,Self-Service,Flemington,NJ,8822,40.500137,-74.855231
41467,Self-Service,Trenton,NJ,8610,40.194004,-74.719105
41468,Self-Service,Willingboro,NJ,8046,40.048415999999996,-74.883992
41469,Self-Service,Flemington,NJ,8822,40.521516999999996,-74.854415
41470,Self-Service,Bensalem,PA,19020,40.096934000000005,-74.945691
41471,Self-Service,Flemington,NJ,8822,40.535676,-74.857561
41472,Self-Service,Robbinsville,NJ,8650,40.204953,-74.63211700000001
41473,Self-Service,Robbinsville,NJ,8691,40.204646000000004,-74.65927099999999
41474,Authorized Ship Center,Levittown,PA,19056,40.169593,-74.878701
41475,Self-Service,Flemington,NJ,8822,40.536358,-74.855884
41476,Self-Service,Burlington,NJ,8016,40.0421,-74.843065
41477,Self-Service,Robbinsville,NJ,8691,40.198757,-74.640491
41478,Self-Service,Lebanon,NJ,8833,40.653683,-74.807136
41479,Self-Service,Washington,NJ,7882,40.755228,-74.99424
41480,Self-Service,Bensalem,PA,19020,40.07163,-74.938799
41481,Authorized Ship Center,Hamilton,NJ,8610,40.206681,-74.71206600000001
41482,Self-Service,Trenton,NJ,8609,40.219666,-74.75510899999999
41483,Self-Service,Fairless Hills,PA,19030,40.170596999999994,-74.851472
41484,Authorized Ship Center,Trenton,NJ,8610,40.202594,-74.73944200000001
41485,Self-Service,Burlington,NJ,8016,40.038281,-74.830042
41486,Self-Service,Trenton,NJ,8619,40.209866,-74.702239
41487,Self-Service,Trenton,NJ,8629,40.219428,-74.73378100000001
41488,Self-Service,Bensalem,PA,19020,40.114184,-74.96212299999999
41489,Self-Service,Haddon Heights,NJ,8035,39.881461,-75.060019
41490,Self-Service,Hope,NJ,7844,40.915141,-74.96736700000001
41491,Self-Service,Trenton,NJ,8648,40.261671,-74.722493
41492,Authorized Ship Center,Bensalem,PA,19020,40.137358,-74.950476
41493,Self-Service,Pennsauken,NJ,8109,39.952434000000004,-75.049623
41494,Self-Service,Hamilton,NJ,8619,40.256949,-74.71029399999999
41495,Self-Service,Langhorne,PA,19047,40.179108,-74.879727
41496,Self-Service,Cherry Hill,NJ,8002,39.936337,-75.030563
